F1,Description,Property Type,Price,Lot Area,Toatal Floor Area,Location,Street,City,Location - Split 3
0,"2 Bedroom Unit in Manila Luxury Condominium, Pasig",Condominium,65000,,183 sqm,"Pearl Dr, Pasig, Kalakhang Maynila",Pearl Dr,Pasig,Kalakhang Maynila
1,"Very Nice Studio Condo in The Columns, Makati",Condominium,25000,,30 sqm,"Ayala Avenue, Makati, Metro Manila",Ayala Avenue,Makati,Metro Manila
2,"2 Bedroom Condo in Escala Salcedo, Makati",Condominium,110000,,105 sqm,"L.P. Leviste Street, Makati, Metro Manila",L.P. Leviste Street,Makati,Metro Manila
3,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,140000,,123 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
4,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,145000,,136 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
5,"4 Bedroom House & Lot, Parañaque",House and Lot,220000,150 sqm,200 sqm,"Parañaque, Metro Manila",,Parañaque,Metro Manila
6,"1 Bedroom Condo in Four Season Riviera, Manila",Condominium,25000,,47 sqm,"Numancia Street, Manila, Metro Manila",Numancia Street,Manila,Metro Manila
7,"Studio Condo in Verve Residences, Taguig",Condominium,40000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
8,"2 Bedroom Condo in One McKinley Place, Taguig",Condominium,120000,,119 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
9,"2 Bedroom Condo in The Montane, Taguig",Condominium,60000,,54 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
10,"1 Bedroom Condo in Verve Residences, Taguig",Condominium,35000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
11,"1 Bedroom Condo in Two Serendra, Taguig",Condominium,80000,,64 sqm,"McKinley Parkway, Taguig, Metro Manila",McKinley Parkway,Taguig,Metro Manila
12,"1 Bedroom Condo in The Bellagio, Taguig",Condominium,49000,,60 sqm,"1st Avenue, Taguig, Metro Manila",1st Avenue,Taguig,Metro Manila
13,"1 Bedroom Condo in Avida Towers 34th St., Taguig",Condominium,35000,,40 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
14,"1 Bedroom Condo in Forbeswood Parklane, Taguig",Condominium,32000,,37 sqm,"Rizal Drive, Taguig, Metro Manila",Rizal Drive,Taguig,Metro Manila
15,"2 Bedroom Condo in The Solstice, Makati",Condominium,75000,,80 sqm,"Circuit, Makati, Metro Manila",Circuit,Makati,Metro Manila
16,"Studio Condo in The Maridien, Taguig",Condominium,35000,,46 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
17,"Studio Condo in One Pacific Place, Makati",Condominium,23000,,23 sqm,"H.V. Dela Costa, Makati, Metro Manila",H.V. Dela Costa,Makati,Metro Manila
18,"1 Bedroom Condo in The Rise Makati, Makati",Condominium,45000,,28 sqm,"Yakal, Makati, Kalakhang Maynila",Yakal,Makati,Kalakhang Maynila
19,"3 Bedroom Condo in Royal Palm Residences, Taguig",Condominium,40000,,97 sqm,"Acacia Avenue, Taguig, Metro Manila",Acacia Avenue,Taguig,Metro Manila
20,"2 Bedroom Unit in Manila Luxury Condominium, Pasig",Condominium,65000,,183 sqm,"Pearl Dr, Pasig, Kalakhang Maynila",Pearl Dr,Pasig,Kalakhang Maynila
21,"Very Nice Studio Condo in The Columns, Makati",Condominium,25000,,30 sqm,"Ayala Avenue, Makati, Metro Manila",Ayala Avenue,Makati,Metro Manila
22,"2 Bedroom Condo in Escala Salcedo, Makati",Condominium,110000,,105 sqm,"L.P. Leviste Street, Makati, Metro Manila",L.P. Leviste Street,Makati,Metro Manila
23,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,140000,,123 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
24,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,145000,,136 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
25,"4 Bedroom House & Lot, Parañaque",House and Lot,220000,150 sqm,200 sqm,"Parañaque, Metro Manila",,Parañaque,Metro Manila
26,"1 Bedroom Condo in Four Season Riviera, Manila",Condominium,25000,,47 sqm,"Numancia Street, Manila, Metro Manila",Numancia Street,Manila,Metro Manila
27,"Studio Condo in Verve Residences, Taguig",Condominium,40000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
28,"2 Bedroom Condo in One McKinley Place, Taguig",Condominium,120000,,119 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
29,"2 Bedroom Condo in The Montane, Taguig",Condominium,60000,,54 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
30,"1 Bedroom Condo in Verve Residences, Taguig",Condominium,35000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
31,"1 Bedroom Condo in Two Serendra, Taguig",Condominium,80000,,64 sqm,"McKinley Parkway, Taguig, Metro Manila",McKinley Parkway,Taguig,Metro Manila
32,"1 Bedroom Condo in The Bellagio, Taguig",Condominium,49000,,60 sqm,"1st Avenue, Taguig, Metro Manila",1st Avenue,Taguig,Metro Manila
33,"1 Bedroom Condo in Avida Towers 34th St., Taguig",Condominium,35000,,40 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
34,"1 Bedroom Condo in Forbeswood Parklane, Taguig",Condominium,32000,,37 sqm,"Rizal Drive, Taguig, Metro Manila",Rizal Drive,Taguig,Metro Manila
35,"2 Bedroom Condo in The Solstice, Makati",Condominium,75000,,80 sqm,"Circuit, Makati, Metro Manila",Circuit,Makati,Metro Manila
36,"Studio Condo in The Maridien, Taguig",Condominium,35000,,46 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
37,"Studio Condo in One Pacific Place, Makati",Condominium,23000,,23 sqm,"H.V. Dela Costa, Makati, Metro Manila",H.V. Dela Costa,Makati,Metro Manila
38,"1 Bedroom Condo in The Rise Makati, Makati",Condominium,45000,,28 sqm,"Yakal, Makati, Kalakhang Maynila",Yakal,Makati,Kalakhang Maynila
39,"3 Bedroom Condo in Royal Palm Residences, Taguig",Condominium,40000,,97 sqm,"Acacia Avenue, Taguig, Metro Manila",Acacia Avenue,Taguig,Metro Manila
40,"2 Bedroom Unit in Manila Luxury Condominium, Pasig",Condominium,65000,,183 sqm,"Pearl Dr, Pasig, Kalakhang Maynila",Pearl Dr,Pasig,Kalakhang Maynila
41,"Very Nice Studio Condo in The Columns, Makati",Condominium,25000,,30 sqm,"Ayala Avenue, Makati, Metro Manila",Ayala Avenue,Makati,Metro Manila
42,"2 Bedroom Condo in Escala Salcedo, Makati",Condominium,110000,,105 sqm,"L.P. Leviste Street, Makati, Metro Manila",L.P. Leviste Street,Makati,Metro Manila
43,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,140000,,123 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
44,"2 Bedroom Condo in The Residences at Greenbelt, Makati",Condominium,145000,,136 sqm,"Paseo de Roxas, Makati, Metro Manila",Paseo de Roxas,Makati,Metro Manila
45,"4 Bedroom House & Lot, Parañaque",House and Lot,220000,150 sqm,200 sqm,"Parañaque, Metro Manila",,Parañaque,Metro Manila
46,"1 Bedroom Condo in Four Season Riviera, Manila",Condominium,25000,,47 sqm,"Numancia Street, Manila, Metro Manila",Numancia Street,Manila,Metro Manila
47,"Studio Condo in Verve Residences, Taguig",Condominium,40000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
48,"2 Bedroom Condo in One McKinley Place, Taguig",Condominium,120000,,119 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
49,"2 Bedroom Condo in The Montane, Taguig",Condominium,60000,,54 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
50,"1 Bedroom Condo in Verve Residences, Taguig",Condominium,35000,,37 sqm,"26th Street, Taguig, Metro Manila",26th Street,Taguig,Metro Manila
51,"1 Bedroom Condo in Two Serendra, Taguig",Condominium,80000,,64 sqm,"McKinley Parkway, Taguig, Metro Manila",McKinley Parkway,Taguig,Metro Manila
52,"1 Bedroom Condo in The Bellagio, Taguig",Condominium,49000,,60 sqm,"1st Avenue, Taguig, Metro Manila",1st Avenue,Taguig,Metro Manila
53,"1 Bedroom Condo in Avida Towers 34th St., Taguig",Condominium,35000,,40 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
54,"1 Bedroom Condo in Forbeswood Parklane, Taguig",Condominium,32000,,37 sqm,"Rizal Drive, Taguig, Metro Manila",Rizal Drive,Taguig,Metro Manila
55,"2 Bedroom Condo in The Solstice, Makati",Condominium,75000,,80 sqm,"Circuit, Makati, Metro Manila",Circuit,Makati,Metro Manila
56,"Studio Condo in The Maridien, Taguig",Condominium,35000,,46 sqm,"Taguig, Metro Manila",,Taguig,Metro Manila
57,"Studio Condo in One Pacific Place, Makati",Condominium,23000,,23 sqm,"H.V. Dela Costa, Makati, Metro Manila",H.V. Dela Costa,Makati,Metro Manila
58,"1 Bedroom Condo in The Rise Makati, Makati",Condominium,45000,,28 sqm,"Yakal, Makati, Kalakhang Maynila",Yakal,Makati,Kalakhang Maynila
59,"3 Bedroom Condo in Royal Palm Residences, Taguig",Condominium,40000,,97 sqm,"Acacia Avenue, Taguig, Metro Manila",Acacia Avenue,Taguig,Metro Manila
60,"2 Bedroom Unit in Manila Luxury Condominium, Pasig",Condominium,65000,,183 sqm,"Pearl Dr, Pasig, Kalakhang Maynila",Pearl Dr,Pasig,Kalakhang Maynila
61,"Very Nice Studio Condo in The Columns, Makati",Condominium,25000,,30 sqm,"Ayala Avenue, Makati, Metro Manila",Ayala Avenue,Makati,Metro Manila
